Search query: (social neuroscience) AND (animal)
Year,Count
2021,195
2020,1394
2019,2322
2018,2393
2017,2362
2016,2282
2015,2112
2014,1780
2013,1176
2012,966
2011,869
2010,777
2009,713
2008,656
2007,545
2006,466
2005,451
2004,328
2003,271
2002,208
2001,221
2000,181
1999,122
1998,95
1997,70
1996,44
1995,49
1994,30
1993,27
1992,22
1991,21
1990,9
1989,13
1988,8
1987,1
1986,2
1985,1
1983,1
1982,2
1981,1
1978,1
