Search query: (animal cognition)
Year,Count
2021,259
2020,1199
2019,1607
2018,1590
2017,1591
2016,1680
2015,1594
2014,1489
2013,1323
2012,1210
2011,1071
2010,939
2009,920
2008,725
2007,592
2006,557
2005,425
2004,365
2003,326
2002,252
2001,217
2000,163
1999,114
1998,136
1997,88
1996,79
1995,83
1994,70
1993,63
1992,57
1991,38
1990,41
1989,24
1988,17
1987,15
1986,12
1985,22
1984,14
1983,10
1982,4
1981,4
1980,3
1979,8
1978,2
1977,8
1976,7
1975,10
1974,7
1973,12
1972,11
1971,7
1969,3
1968,2
1967,1
1966,2
1965,1
1963,1
