PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28935582","3β-HSD expression in the CNS of a manakin and finch","Eaton J, Pradhan DS, Barske J, Fusani L, Canoine V, Schlinger BA.","Gen Comp Endocrinol. 2018 Jan 15;256:43-49. doi: 10.1016/j.ygcen.2017.09.016. Epub 2017 Sep 18.","Eaton J","Gen Comp Endocrinol","2018","2017/09/23","PMC5742301","NIHMS909506","10.1016/j.ygcen.2017.09.016"
"32682742","Optimism, pessimism and judgement bias in animals: A systematic review and meta-analysis","Lagisz M, Zidar J, Nakagawa S, Neville V, Sorato E, Paul ES, Bateson M, Mendl M, Løvlie H.","Neurosci Biobehav Rev. 2020 Nov;118:3-17. doi: 10.1016/j.neubiorev.2020.07.012. Epub 2020 Jul 16.","Lagisz M","Neurosci Biobehav Rev","2020","2020/07/20","","","10.1016/j.neubiorev.2020.07.012"
"32780733","Rapid evolution of the primate larynx?","Bowling DL, Dunn JC, Smaers JB, Garcia M, Sato A, Hantke G, Handschuh S, Dengg S, Kerney M, Kitchener AC, Gumpenberger M, Fitch WT.","PLoS Biol. 2020 Aug 11;18(8):e3000764. doi: 10.1371/journal.pbio.3000764. eCollection 2020 Aug.","Bowling DL","PLoS Biol","2020","2020/08/12","PMC7418954","","10.1371/journal.pbio.3000764"
"30404178","Exploring Interactions between the Gut Microbiota and Social Behavior through Nutrition","Pasquaretta C, Gómez-Moracho T, Heeb P, Lihoreau M.","Genes (Basel). 2018 Nov 6;9(11):534. doi: 10.3390/genes9110534.","Pasquaretta C","Genes (Basel)","2018","2018/11/09","PMC6266758","","10.3390/genes9110534"
"28958953","Measuring short-term stress in birds: Comparing different endpoints of the endocrine-immune interface","Huber N, Fusani L, Ferretti A, Mahr K, Canoine V.","Physiol Behav. 2017 Dec 1;182:46-53. doi: 10.1016/j.physbeh.2017.09.017. Epub 2017 Sep 27.","Huber N","Physiol Behav","2017","2017/09/30","","","10.1016/j.physbeh.2017.09.017"
"32878205","Can Zoos Ever Be Big Enough for Large Wild Animals? A Review Using an Expert Panel Assessment of the Psychological Priorities of the Amur Tiger (Panthera tigris altaica) as a Model Species","Veasey JS.","Animals (Basel). 2020 Aug 31;10(9):1536. doi: 10.3390/ani10091536.","Veasey JS","Animals (Basel)","2020","2020/09/04","PMC7552275","","10.3390/ani10091536"
"31785113","Comparison of extraction methods for recovering ancient microbial DNA from paleofeces","Hagan RW, Hofman CA, Hübner A, Reinhard K, Schnorr S, Lewis CM Jr, Sankaranarayanan K, Warinner CG.","Am J Phys Anthropol. 2020 Feb;171(2):275-284. doi: 10.1002/ajpa.23978. Epub 2019 Nov 30.","Hagan RW","Am J Phys Anthropol","2020","2019/12/01","","","10.1002/ajpa.23978"
"31119860","Evolution of ASPM coding variation in apes and associations with brain structure in chimpanzees","Singh SV, Staes N, Guevara EE, Schapiro SJ, Ely JJ, Hopkins WD, Sherwood CC, Bradley BJ.","Genes Brain Behav. 2019 Sep;18(7):e12582. doi: 10.1111/gbb.12582. Epub 2019 Jun 11.","Singh SV","Genes Brain Behav","2019","2019/05/24","PMC7798362","NIHMS1571656","10.1111/gbb.12582"
"29593541","A Preliminary Investigation on Smokeless Tobacco Use and Its Cognitive Effects Among Athletes","Zandonai T, Chiamulera C, Mancabelli A, Falconieri D, Diana M.","Front Pharmacol. 2018 Mar 12;9:216. doi: 10.3389/fphar.2018.00216. eCollection 2018.","Zandonai T","Front Pharmacol","2018","2018/03/30","PMC5857588","","10.3389/fphar.2018.00216"
"31828784","Mexico ants: incidence and abundance along the Nearctic-Neotropical interface","Dáttilo W, Vásquez-Bolaños M, Ahuatzin DA, Antoniazzi R, Chávez-González E, Corro E, Luna P, Guevara R, Villalobos F, Madrigal-Chavero R, Falcão JCF, Bonilla-Ramírez A, Romero ARG, de la Mora A, Ramírez-Hernández A, Escalante-Jiménez AL, Martínez-Falcón AP, Villarreal AI, Sandoval AGC, Aponte B, Juárez-Juárez B, Castillo-Guevara C, Moreno CE, Albor C, Martínez-Tlapa DL, Huber-Sannwald E, Escobar F, Montiel-Reyes FJ, Varela-Hernández F, Castaño-Meneses G, Pérez-Lachaud G, Pérez-Toledo GR, Alcalá-Martínez I, Rivera-Salinas IS, Chairez-Hernández I, Chamorro-Florescano IA, Hernández-Flores J, Toledo JM, Lachaud JP, Reyes-Muñoz JL, Valenzuela-González JE, Horta-Vega JV, Cruz-Labana JD, Reynoso-Campos JJ, Navarrete-Heredia JL, Rodríguez-Garza JA, Pérez-Domínguez JF, Benítez-Malvido J, Ennis KK, Sáenz L, Díaz-Montiel LA, Tarango-Arámbula LA, Quiroz-Robedo LN, Rosas-Mejía M, Villalvazo-Palacios M, Gómez-Lazaga M, Cuautle M, Aguilar-Méndez MJ, Baena ML, Madora-Astudillo M, Rocha-Ortega M, Pale M, García-Martínez MA, Soto-Cárdenas MA, Correa-Ramírez MM, Janda M, Rojas P, Torres-Ricario R, Jones RW, Coates R, Gómez-Acevedo SL, Ugalde-Lezama S, Philpott SM, Joaqui T, Marques T, Zamora-Gutierrez V, Martínez Mandujano V, Hajian-Forooshani Z, MacGregor-Fors I.","Ecology. 2020 Apr;101(4):e02944. doi: 10.1002/ecy.2944. Epub 2020 Mar 3.","Dáttilo W","Ecology","2020","2019/12/13","","","10.1002/ecy.2944"
