PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"29615850","Interplay Between the Gut-Brain Axis, Obesity and Cognitive Function","Agustí A, García-Pardo MP, López-Almela I, Campillo I, Maes M, Romaní-Pérez M, Sanz Y.","Front Neurosci. 2018 Mar 16;12:155. doi: 10.3389/fnins.2018.00155. eCollection 2018.","Agustí A","Front Neurosci","2018","2018/04/05","PMC5864897","","10.3389/fnins.2018.00155"
"33090847","Comparative cognition and cognitive ecology in the classroom","Lamontagne SJ, Kuhlmeier VA, Olmstead MC.","Can J Exp Psychol. 2020 Sep;74(3):176-182. doi: 10.1037/cep0000213.","Lamontagne SJ","Can J Exp Psychol","2020","2020/10/22","","","10.1037/cep0000213"
"31416642","The Cognitive Ecology of Stimulus Ambiguity: A Predator-Prey Perspective","Leavell BC, Bernal XE.","Trends Ecol Evol. 2019 Nov;34(11):1048-1060. doi: 10.1016/j.tree.2019.07.004. Epub 2019 Aug 12.","Leavell BC","Trends Ecol Evol","2019","2019/08/17","","","10.1016/j.tree.2019.07.004"
"32662725","Place and Environment in the Ongoing Evolution of Cognitive Neuroscience","Irwin LN, Irwin BA.","J Cogn Neurosci. 2020 Oct;32(10):1837-1850. doi: 10.1162/jocn_a_01607. Epub 2020 Jul 14.","Irwin LN","J Cogn Neurosci","2020","2020/07/15","","","10.1162/jocn_a_01607"
"27693087","Cognitive Phenotypes and the Evolution of Animal Decisions","Mendelson TC, Fitzpatrick CL, Hauber ME, Pence CH, Rodríguez RL, Safran RJ, Stern CA, Stevens JR.","Trends Ecol Evol. 2016 Nov;31(11):850-859. doi: 10.1016/j.tree.2016.08.008. Epub 2016 Sep 29.","Mendelson TC","Trends Ecol Evol","2016","2016/10/04","","","10.1016/j.tree.2016.08.008"
"30655223","Variational ecology and the physics of sentient systems","Ramstead MJD, Constant A, Badcock PB, Friston KJ.","Phys Life Rev. 2019 Dec;31:188-205. doi: 10.1016/j.plrev.2018.12.002. Epub 2019 Jan 7.","Ramstead MJD","Phys Life Rev","2019","2019/01/19","PMC6941227","","10.1016/j.plrev.2018.12.002"
"26897365","On cognitive ecology and the environmental factors that promote Alzheimer disease: lessons from Octodon degus (Rodentia: Octodontidae)","Rivera DS, Inestrosa NC, Bozinovic F.","Biol Res. 2016 Feb 20;49:10. doi: 10.1186/s40659-016-0074-7.","Rivera DS","Biol Res","2016","2016/02/22","PMC4761148","","10.1186/s40659-016-0074-7"
"32982822","Validity of Cognitive Tests for Non-human Animals: Pitfalls and Prospects","Schubiger MN, Fichtel C, Burkart JM.","Front Psychol. 2020 Aug 31;11:1835. doi: 10.3389/fpsyg.2020.01835. eCollection 2020.","Schubiger MN","Front Psychol","2020","2020/09/28","PMC7488350","","10.3389/fpsyg.2020.01835"
"32121420","Dehydration Impairs Physical Growth and Cognitive Development in Young Mice","Kim CS, Chun WY, Shin DM.","Nutrients. 2020 Feb 29;12(3):670. doi: 10.3390/nu12030670.","Kim CS","Nutrients","2020","2020/03/04","PMC7146499","","10.3390/nu12030670"
"30104430","Heritabilities and co-variation among cognitive traits in red junglefowl","Sorato E, Zidar J, Garnham L, Wilson A, Løvlie H.","Philos Trans R Soc Lond B Biol Sci. 2018 Sep 26;373(1756):20170285. doi: 10.1098/rstb.2017.0285.","Sorato E","Philos Trans R Soc Lond B Biol Sci","2018","2018/08/15","PMC6107570","","10.1098/rstb.2017.0285"
"28823589","Cognition in Contests: Mechanisms, Ecology, and Evolution","Reichert MS, Quinn JL.","Trends Ecol Evol. 2017 Oct;32(10):773-785. doi: 10.1016/j.tree.2017.07.003. Epub 2017 Aug 17.","Reichert MS","Trends Ecol Evol","2017","2017/08/22","","","10.1016/j.tree.2017.07.003"
"28065213","The Ecology of Social Learning in Animals and its Link with Intelligence","van Schaik C, Graber S, Schuppli C, Burkart J.","Span J Psychol. 2017 Jan 9;19:E99. doi: 10.1017/sjp.2016.100.","van Schaik C","Span J Psychol","2017","2017/01/10","","","10.1017/sjp.2016.100"
"30654122","Technology or ecology? New tools to assess cognitive judgement bias in mice","Krakenberg V, Woigk I, Garcia Rodriguez L, Kästner N, Kaiser S, Sachser N, Richter SH.","Behav Brain Res. 2019 Apr 19;362:279-287. doi: 10.1016/j.bbr.2019.01.021. Epub 2019 Jan 14.","Krakenberg V","Behav Brain Res","2019","2019/01/18","","","10.1016/j.bbr.2019.01.021"
"27605354","Contextual influences on animal decision-making: Significance for behavior-based wildlife conservation and management","Owen MA, Swaisgood RR, Blumstein DT.","Integr Zool. 2017 Jan;12(1):32-48. doi: 10.1111/1749-4877.12235.","Owen MA","Integr Zool","2017","2016/09/09","","","10.1111/1749-4877.12235"
"31300696","Individual variation in cognitive style reflects foraging and anti-predator strategies in a small mammal","Mazza V, Jacob J, Dammhahn M, Zaccaroni M, Eccard JA.","Sci Rep. 2019 Jul 12;9(1):10157. doi: 10.1038/s41598-019-46582-1.","Mazza V","Sci Rep","2019","2019/07/14","PMC6626059","","10.1038/s41598-019-46582-1"
"31110007","Negative emotional contagion and cognitive bias in common ravens (Corvus corax)","Adriaense JEC, Martin JS, Schiestl M, Lamm C, Bugnyar T.","Proc Natl Acad Sci U S A. 2019 Jun 4;116(23):11547-11552. doi: 10.1073/pnas.1817066116. Epub 2019 May 20.","Adriaense JEC","Proc Natl Acad Sci U S A","2019","2019/05/22","PMC6561263","","10.1073/pnas.1817066116"
"33090844","Unifying psychological and biological approaches to understanding animal cognition","Guillette LM, Sturdy CB.","Can J Exp Psychol. 2020 Sep;74(3):157-159. doi: 10.1037/cep0000233.","Guillette LM","Can J Exp Psychol","2020","2020/10/22","","","10.1037/cep0000233"
"25619897","Rough-and-tumble play as a window on animal communication","Palagi E, Burghardt GM, Smuts B, Cordoni G, Dall'Olio S, Fouts HN, Řeháková-Petrů M, Siviy SM, Pellis SM.","Biol Rev Camb Philos Soc. 2016 May;91(2):311-27. doi: 10.1111/brv.12172. Epub 2015 Jan 25.","Palagi E","Biol Rev Camb Philos Soc","2016","2015/01/27","","","10.1111/brv.12172"
"29861509","PRINCIPLES AND PATTERNS OF BAT MOVEMENTS: FROM AERODYNAMICS TO ECOLOGY","Voigt CC, Frick WF, Holderied MW, Holland R, Kerth G, Mello MAR, Plowright RK, Swartz S, Yovel Y.","Q Rev Biol. 2017 Sep;92(3):267-287. doi: 10.1086/693847.","Voigt CC","Q Rev Biol","2017","2018/06/05","PMC5983048","NIHMS936582","10.1086/693847"
"31153928","Does socio-ecology drive differences in alertness between wolves and dogs when resting?","Kortekaas K, Kotrschal K.","Behav Processes. 2019 Sep;166:103877. doi: 10.1016/j.beproc.2019.05.024. Epub 2019 May 30.","Kortekaas K","Behav Processes","2019","2019/06/03","","","10.1016/j.beproc.2019.05.024"
"31600513","The Life of Behavior","Gomez-Marin A, Ghazanfar AA.","Neuron. 2019 Oct 9;104(1):25-36. doi: 10.1016/j.neuron.2019.09.017.","Gomez-Marin A","Neuron","2019","2019/10/11","PMC6873815","NIHMS1543024","10.1016/j.neuron.2019.09.017"
"33170438","Arthropod spatial cognition","Pfeffer S, Wolf H.","Anim Cogn. 2020 Nov;23(6):1041-1049. doi: 10.1007/s10071-020-01446-4. Epub 2020 Nov 10.","Pfeffer S","Anim Cogn","2020","2020/11/10","PMC7700064","","10.1007/s10071-020-01446-4"
"28805639","Development and evolution of brain allometry in wasps (Vespidae): size, ecology and sociality","O'Donnell S, Bulova S.","Curr Opin Insect Sci. 2017 Aug;22:54-61. doi: 10.1016/j.cois.2017.05.014. Epub 2017 May 22.","O'Donnell S","Curr Opin Insect Sci","2017","2017/08/15","","","10.1016/j.cois.2017.05.014"
"29688618","Se-Methylselenocysteine Ameliorates Neuropathology and Cognitive Deficits by Attenuating Oxidative Stress and Metal Dyshomeostasis in Alzheimer Model Mice","Xie Y, Liu Q, Zheng L, Wang B, Qu X, Ni J, Zhang Y, Du X.","Mol Nutr Food Res. 2018 Jun;62(12):e1800107. doi: 10.1002/mnfr.201800107. Epub 2018 May 28.","Xie Y","Mol Nutr Food Res","2018","2018/04/25","","","10.1002/mnfr.201800107"
"30926631","The Third Cognitive Revolution: The consequences and possibilities for biomedical research","Hittner JB, Hoogesteijn AL, Fair JM, van Regenmortel MH, Rivas AL.","EMBO Rep. 2019 Apr;20(4):e47647. doi: 10.15252/embr.201847647. Epub 2019 Mar 29.","Hittner JB","EMBO Rep","2019","2019/03/31","PMC6446201","","10.15252/embr.201847647"
"31401761","Female cognitive performance and mass are correlated with different aspects of mate choice in the zebra finch (Taeniopygia guttata)","Howell C, Anderson R, Derryberry EP.","Anim Cogn. 2019 Nov;22(6):1085-1094. doi: 10.1007/s10071-019-01299-6. Epub 2019 Aug 10.","Howell C","Anim Cogn","2019","2019/08/12","","","10.1007/s10071-019-01299-6"
"29414945","Cognitive performance is linked to group size and affects fitness in Australian magpies","Ashton BJ, Ridley AR, Edwards EK, Thornton A.","Nature. 2018 Feb 15;554(7692):364-367. doi: 10.1038/nature25503. Epub 2018 Feb 7.","Ashton BJ","Nature","2018","2018/02/08","PMC5815499","EMS75649","10.1038/nature25503"
"30820451","Sodium rutin ameliorates Alzheimer's disease-like pathology by enhancing microglial amyloid-β clearance","Pan RY, Ma J, Kong XX, Wang XF, Li SS, Qi XL, Yan YH, Cheng J, Liu Q, Jin W, Tan CH, Yuan Z.","Sci Adv. 2019 Feb 27;5(2):eaau6328. doi: 10.1126/sciadv.aau6328. eCollection 2019 Feb.","Pan RY","Sci Adv","2019","2019/03/02","PMC6393001","","10.1126/sciadv.aau6328"
"29681845","Editorial: Human and Animal Models for Translational Research on Neurodegeneration: Challenges and Opportunities From South America","Ibáñez A, Sedeño L, García AM, Deacon RMJ, Cogram P.","Front Aging Neurosci. 2018 Apr 6;10:95. doi: 10.3389/fnagi.2018.00095. eCollection 2018.","Ibáñez A","Front Aging Neurosci","2018","2018/04/24","PMC5897422","","10.3389/fnagi.2018.00095"
"28289258","Host species exploitation and discrimination by animal parasites","Forbes MR, Morrill A, Schellinck J.","Philos Trans R Soc Lond B Biol Sci. 2017 May 5;372(1719):20160090. doi: 10.1098/rstb.2016.0090.","Forbes MR","Philos Trans R Soc Lond B Biol Sci","2017","2017/03/15","PMC5352817","","10.1098/rstb.2016.0090"
"27706919","The common marmoset: An overview of its natural history, ecology and behavior","Schiel N, Souto A.","Dev Neurobiol. 2017 Mar;77(3):244-262. doi: 10.1002/dneu.22458. Epub 2016 Nov 11.","Schiel N","Dev Neurobiol","2017","2016/10/06","","","10.1002/dneu.22458"
"25631282","Studying the evolutionary ecology of cognition in the wild: a review of practical and conceptual challenges","Morand-Ferron J, Cole EF, Quinn JL.","Biol Rev Camb Philos Soc. 2016 May;91(2):367-89. doi: 10.1111/brv.12174. Epub 2015 Jan 28.","Morand-Ferron J","Biol Rev Camb Philos Soc","2016","2015/01/30","","","10.1111/brv.12174"
"33110163","Effects of long-lasting social isolation and re-socialization on cognitive performance and brain activity: a longitudinal study in Octodon degus","Rivera DS, Lindsay CB, Oliva CA, Codocedo JF, Bozinovic F, Inestrosa NC.","Sci Rep. 2020 Oct 27;10(1):18315. doi: 10.1038/s41598-020-75026-4.","Rivera DS","Sci Rep","2020","2020/10/28","PMC7591540","","10.1038/s41598-020-75026-4"
"29055050","An evolutionary framework outlining the integration of individual social and spatial ecology","Webber QMR, Vander Wal E.","J Anim Ecol. 2018 Jan;87(1):113-127. doi: 10.1111/1365-2656.12773. Epub 2017 Nov 27.","Webber QMR","J Anim Ecol","2018","2017/10/22","","","10.1111/1365-2656.12773"
"29507207","How cognitive and reactive fear circuits optimize escape decisions in humans","Qi S, Hassabis D, Sun J, Guo F, Daw N, Mobbs D.","Proc Natl Acad Sci U S A. 2018 Mar 20;115(12):3186-3191. doi: 10.1073/pnas.1712314115. Epub 2018 Mar 5.","Qi S","Proc Natl Acad Sci U S A","2018","2018/03/07","PMC5866541","","10.1073/pnas.1712314115"
"31030897","Refining the ecological brain: Strong relation between the ventromedial prefrontal cortex and feeding ecology in five primate species","Louail M, Gilissen E, Prat S, Garcia C, Bouret S.","Cortex. 2019 Sep;118:262-274. doi: 10.1016/j.cortex.2019.03.019. Epub 2019 Apr 4.","Louail M","Cortex","2019","2019/04/30","","","10.1016/j.cortex.2019.03.019"
"26808106","Incorporating the gut microbiota into models of human and non-human primate ecology and evolution","Amato KR.","Am J Phys Anthropol. 2016 Jan;159(Suppl 61):S196-215. doi: 10.1002/ajpa.22908.","Amato KR","Am J Phys Anthropol","2016","2016/01/26","","","10.1002/ajpa.22908"
"32307892","Innovation in chimpanzees","Bandini E, Harrison RA.","Biol Rev Camb Philos Soc. 2020 Oct;95(5):1167-1197. doi: 10.1111/brv.12604. Epub 2020 Apr 19.","Bandini E","Biol Rev Camb Philos Soc","2020","2020/04/21","","","10.1111/brv.12604"
"32638171","Investigation of cognitive mechanisms and strategy on solving multiple string-pulling problems in Azure-winged magpie (Cyanopica cyanus)","Wang L, Zhang D, Sui J.","Anim Cogn. 2021 Jan;24(1):1-10. doi: 10.1007/s10071-020-01413-z. Epub 2020 Jul 7.","Wang L","Anim Cogn","2021","2020/07/09","","","10.1007/s10071-020-01413-z"
"31160560","The reach of gene-culture coevolution in animals","Whitehead H, Laland KN, Rendell L, Thorogood R, Whiten A.","Nat Commun. 2019 Jun 3;10(1):2405. doi: 10.1038/s41467-019-10293-y.","Whitehead H","Nat Commun","2019","2019/06/05","PMC6546714","","10.1038/s41467-019-10293-y"
"31735156","The syntax-semantics interface in animal vocal communication","Suzuki TN, Wheatcroft D, Griesser M.","Philos Trans R Soc Lond B Biol Sci. 2020 Jan 6;375(1789):20180405. doi: 10.1098/rstb.2018.0405. Epub 2019 Nov 18.","Suzuki TN","Philos Trans R Soc Lond B Biol Sci","2020","2019/11/19","PMC6895555","","10.1098/rstb.2018.0405"
"31175907","A place for emotions in behavior systems research","Burghardt GM.","Behav Processes. 2019 Sep;166:103881. doi: 10.1016/j.beproc.2019.06.004. Epub 2019 Jun 5.","Burghardt GM","Behav Processes","2019","2019/06/09","","","10.1016/j.beproc.2019.06.004"
"28904133","Comparing physical and social cognitive skills in macaque species with different degrees of social tolerance","Joly M, Micheletta J, De Marco A, Langermans JA, Sterck EHM, Waller BM.","Proc Biol Sci. 2017 Sep 13;284(1862):20162738. doi: 10.1098/rspb.2016.2738.","Joly M","Proc Biol Sci","2017","2017/09/15","PMC5597818","","10.1098/rspb.2016.2738"
"31927435","Decision making in foraging bats","Prat Y, Yovel Y.","Curr Opin Neurobiol. 2020 Feb;60:169-175. doi: 10.1016/j.conb.2019.12.006. Epub 2020 Jan 9.","Prat Y","Curr Opin Neurobiol","2020","2020/01/14","","","10.1016/j.conb.2019.12.006"
"30104425","Measuring and understanding individual differences in cognition","Boogert NJ, Madden JR, Morand-Ferron J, Thornton A.","Philos Trans R Soc Lond B Biol Sci. 2018 Sep 26;373(1756):20170280. doi: 10.1098/rstb.2017.0280.","Boogert NJ","Philos Trans R Soc Lond B Biol Sci","2018","2018/08/15","PMC6107562","","10.1098/rstb.2017.0280"
"30232162","Social tipping points in animal societies","Pruitt JN, Berdahl A, Riehl C, Pinter-Wollman N, Moeller HV, Pringle EG, Aplin LM, Robinson EJH, Grilli J, Yeh P, Savage VM, Price MH, Garland J, Gilby IC, Crofoot MC, Doering GN, Hobson EA.","Proc Biol Sci. 2018 Sep 19;285(1887):20181282. doi: 10.1098/rspb.2018.1282.","Pruitt JN","Proc Biol Sci","2018","2018/09/21","PMC6170811","","10.1098/rspb.2018.1282"
"32736804","Identifying Microbiome-Mediated Behaviour in Wild Vertebrates","Davidson GL, Raulo A, Knowles SCL.","Trends Ecol Evol. 2020 Nov;35(11):972-980. doi: 10.1016/j.tree.2020.06.014. Epub 2020 Jul 28.","Davidson GL","Trends Ecol Evol","2020","2020/08/02","","","10.1016/j.tree.2020.06.014"
"30805799","Behavioral flexibility of a generalist carnivore","Daniels SE, Fanelli RE, Gilbert A, Benson-Amram S.","Anim Cogn. 2019 May;22(3):387-396. doi: 10.1007/s10071-019-01252-7. Epub 2019 Feb 25.","Daniels SE","Anim Cogn","2019","2019/02/27","","","10.1007/s10071-019-01252-7"
"33373711","The link between relative brain size and cognitive ageing in female guppies (Poecilia reticulata) artificially selected for variation in brain size","Boussard A, Amcoff M, Buechel SD, Kotrschal A, Kolm N.","Exp Gerontol. 2021 Apr;146:111218. doi: 10.1016/j.exger.2020.111218. Epub 2020 Dec 26.","Boussard A","Exp Gerontol","2021","2020/12/29","","","10.1016/j.exger.2020.111218"
"33250826","The Role of Animal Cognition in Human-Wildlife Interactions","Goumas M, Lee VE, Boogert NJ, Kelley LA, Thornton A.","Front Psychol. 2020 Nov 4;11:589978. doi: 10.3389/fpsyg.2020.589978. eCollection 2020.","Goumas M","Front Psychol","2020","2020/11/30","PMC7672032","","10.3389/fpsyg.2020.589978"
"31953131","Do lizards have enhanced inhibition? A test in two species differing in ecology and sociobiology","Szabo B, Whiting MJ.","Behav Processes. 2020 Mar;172:104043. doi: 10.1016/j.beproc.2020.104043. Epub 2020 Jan 14.","Szabo B","Behav Processes","2020","2020/01/19","","","10.1016/j.beproc.2020.104043"
"30840127","Foraging strategies and physiological adaptations in large carpenter bees","Somanathan H, Saryan P, Balamurali GS.","J Comp Physiol A Neuroethol Sens Neural Behav Physiol. 2019 Jun;205(3):387-398. doi: 10.1007/s00359-019-01323-7. Epub 2019 Mar 6.","Somanathan H","J Comp Physiol A Neuroethol Sens Neural Behav Physiol","2019","2019/03/07","","","10.1007/s00359-019-01323-7"
"31271948","Insects as models for studying the evolution of animal cognition","Simons M, Tibbetts E.","Curr Opin Insect Sci. 2019 Aug;34:117-122. doi: 10.1016/j.cois.2019.05.009. Epub 2019 Jun 3.","Simons M","Curr Opin Insect Sci","2019","2019/07/05","","","10.1016/j.cois.2019.05.009"
"29440518","The evolution of the capacity for language: the ecological context and adaptive value of a process of cognitive hijacking","Kolodny O, Edelman S.","Philos Trans R Soc Lond B Biol Sci. 2018 Apr 5;373(1743):20170052. doi: 10.1098/rstb.2017.0052.","Kolodny O","Philos Trans R Soc Lond B Biol Sci","2018","2018/02/15","PMC5812965","","10.1098/rstb.2017.0052"
"33252043","Towards a multi-level understanding in insect navigation","Le Moël F, Wystrach A.","Curr Opin Insect Sci. 2020 Dec;42:110-117. doi: 10.1016/j.cois.2020.10.006. Epub 2020 Oct 22.","Le Moël F","Curr Opin Insect Sci","2020","2020/11/30","","","10.1016/j.cois.2020.10.006"
"32854218","Mechanisms of Nutritional Resource Exploitation by Insects","Leonhardt SD, Lihoreau M, Spaethe J.","Insects. 2020 Aug 25;11(9):570. doi: 10.3390/insects11090570.","Leonhardt SD","Insects","2020","2020/08/29","PMC7564569","","10.3390/insects11090570"
"30510179","The genome of the jellyfish Aurelia and the evolution of animal complexity","Gold DA, Katsuki T, Li Y, Yan X, Regulski M, Ibberson D, Holstein T, Steele RE, Jacobs DK, Greenspan RJ.","Nat Ecol Evol. 2019 Jan;3(1):96-104. doi: 10.1038/s41559-018-0719-8. Epub 2018 Dec 3.","Gold DA","Nat Ecol Evol","2019","2018/12/05","","","10.1038/s41559-018-0719-8"
"31557550","A comparative approach to affect and cooperation","Massen JJM, Behrens F, Martin JS, Stocker M, Brosnan SF.","Neurosci Biobehav Rev. 2019 Dec;107:370-387. doi: 10.1016/j.neubiorev.2019.09.027. Epub 2019 Sep 23.","Massen JJM","Neurosci Biobehav Rev","2019","2019/09/27","","","10.1016/j.neubiorev.2019.09.027"
"32557960","Plant behaviour: an evolutionary response to the environment?","Kumar A, Memo M, Mastinu A.","Plant Biol (Stuttg). 2020 Nov;22(6):961-970. doi: 10.1111/plb.13149. Epub 2020 Aug 17.","Kumar A","Plant Biol (Stuttg)","2020","2020/06/20","","","10.1111/plb.13149"
"27461916","The perception of self in birds","Derégnaucourt S, Bovet D.","Neurosci Biobehav Rev. 2016 Oct;69:1-14. doi: 10.1016/j.neubiorev.2016.06.039. Epub 2016 Jul 25.","Derégnaucourt S","Neurosci Biobehav Rev","2016","2016/07/28","","","10.1016/j.neubiorev.2016.06.039"
"30104427","Linking personality and cognition: a meta-analysis","Dougherty LR, Guillette LM.","Philos Trans R Soc Lond B Biol Sci. 2018 Sep 26;373(1756):20170282. doi: 10.1098/rstb.2017.0282.","Dougherty LR","Philos Trans R Soc Lond B Biol Sci","2018","2018/08/15","PMC6107561","","10.1098/rstb.2017.0282"
"28498866","Cognitive adaptation in asexual and sexual wasps living in contrasted environments","Froissart L, Giurfa M, Sauzet S, Desouhant E.","PLoS One. 2017 May 12;12(5):e0177581. doi: 10.1371/journal.pone.0177581. eCollection 2017.","Froissart L","PLoS One","2017","2017/05/13","PMC5428991","","10.1371/journal.pone.0177581"
"30104426","The repeatability of cognitive performance: a meta-analysis","Cauchoix M, Chow PKY, van Horik JO, Atance CM, Barbeau EJ, Barragan-Jason G, Bize P, Boussard A, Buechel SD, Cabirol A, Cauchard L, Claidière N, Dalesman S, Devaud JM, Didic M, Doligez B, Fagot J, Fichtel C, Henke-von der Malsburg J, Hermer E, Huber L, Huebner F, Kappeler PM, Klein S, Langbein J, Langley EJG, Lea SEG, Lihoreau M, Lovlie H, Matzel LD, Nakagawa S, Nawroth C, Oesterwind S, Sauce B, Smith EA, Sorato E, Tebbich S, Wallis LJ, Whiteside MA, Wilkinson A, Chaine AS, Morand-Ferron J.","Philos Trans R Soc Lond B Biol Sci. 2018 Sep 26;373(1756):20170281. doi: 10.1098/rstb.2017.0281.","Cauchoix M","Philos Trans R Soc Lond B Biol Sci","2018","2018/08/15","PMC6107569","","10.1098/rstb.2017.0281"
"27014163","How Can We Study the Evolution of Animal Minds?","Cauchoix M, Chaine AS.","Front Psychol. 2016 Mar 15;7:358. doi: 10.3389/fpsyg.2016.00358. eCollection 2016.","Cauchoix M","Front Psychol","2016","2016/03/26","PMC4791388","","10.3389/fpsyg.2016.00358"
"31420908","Context is key: A comment on Herczeg et al. 2019","Haave-Audet E, Guillette LM, Mathot KJ.","J Evol Biol. 2019 Dec;32(12):1444-1449. doi: 10.1111/jeb.13520. Epub 2019 Sep 6.","Haave-Audet E","J Evol Biol","2019","2019/08/18","","","10.1111/jeb.13520"
"29046380","Re-evaluating the link between brain size and behavioural ecology in primates","Powell LE, Isler K, Barton RA.","Proc Biol Sci. 2017 Oct 25;284(1865):20171765. doi: 10.1098/rspb.2017.1765.","Powell LE","Proc Biol Sci","2017","2017/10/20","PMC5666103","","10.1098/rspb.2017.1765"
"30744977","Natural Selection and Spatial Cognition in Wild Food-Caching Mountain Chickadees","Sonnenberg BR, Branch CL, Pitera AM, Bridge E, Pravosudov VV.","Curr Biol. 2019 Feb 18;29(4):670-676.e3. doi: 10.1016/j.cub.2019.01.006. Epub 2019 Feb 7.","Sonnenberg BR","Curr Biol","2019","2019/02/13","","","10.1016/j.cub.2019.01.006"
"31544620","The neuroscience of vision and pain: evolution of two disciplines","Finlay BL.","Philos Trans R Soc Lond B Biol Sci. 2019 Nov 11;374(1785):20190292. doi: 10.1098/rstb.2019.0292. Epub 2019 Sep 23.","Finlay BL","Philos Trans R Soc Lond B Biol Sci","2019","2019/09/24","PMC6790377","","10.1098/rstb.2019.0292"
"30104433","An intraspecific appraisal of the social intelligence hypothesis","Ashton BJ, Thornton A, Ridley AR.","Philos Trans R Soc Lond B Biol Sci. 2018 Sep 26;373(1756):20170288. doi: 10.1098/rstb.2017.0288.","Ashton BJ","Philos Trans R Soc Lond B Biol Sci","2018","2018/08/15","PMC6107571","","10.1098/rstb.2017.0288"
"30571696","Movement and conformity interact to establish local behavioural traditions in animal populations","Somveille M, Firth JA, Aplin LM, Farine DR, Sheldon BC, Thompson RN.","PLoS Comput Biol. 2018 Dec 20;14(12):e1006647. doi: 10.1371/journal.pcbi.1006647. eCollection 2018 Dec.","Somveille M","PLoS Comput Biol","2018","2018/12/21","PMC6319775","","10.1371/journal.pcbi.1006647"
"32821079","Heritability and correlations among learning and inhibitory control traits","Langley EJG, Adams G, Beardsworth CE, Dawson DA, Laker PR, van Horik JO, Whiteside MA, Wilson AJ, Madden JR.","Behav Ecol. 2020 May-Jun;31(3):798-806. doi: 10.1093/beheco/araa029. Epub 2020 Mar 29.","Langley EJG","Behav Ecol","2020","2020/08/22","PMC7428062","","10.1093/beheco/araa029"
"28662197","Effects of iron supplementation on growth, gut microbiota, metabolomics and cognitive development of rat pups","Alexeev EE, He X, Slupsky CM, Lönnerdal B.","PLoS One. 2017 Jun 29;12(6):e0179713. doi: 10.1371/journal.pone.0179713. eCollection 2017.","Alexeev EE","PLoS One","2017","2017/06/30","PMC5491036","","10.1371/journal.pone.0179713"
"33654495","The problem and promise of scale in multilayer animal social networks","Robitaille AL, Webber QMR, Turner JW, Wal Eric V.","Curr Zool. 2021 Feb;67(1):113-123. doi: 10.1093/cz/zoaa052. Epub 2020 Sep 7.","Robitaille AL","Curr Zool","2021","2021/03/03","PMC7901766","","10.1093/cz/zoaa052"
"26956233","Into the black and back: the ecology of brain investment in Neotropical army ants (Formicidae: Dorylinae)","Bulova S, Purce K, Khodak P, Sulger E, O'Donnell S.","Naturwissenschaften. 2016 Apr;103(3-4):31. doi: 10.1007/s00114-016-1353-4. Epub 2016 Mar 8.","Bulova S","Naturwissenschaften","2016","2016/03/10","","","10.1007/s00114-016-1353-4"
"29730032","Mammalian brain development and our grandmothering life history","Hawkes K, Finlay BL.","Physiol Behav. 2018 Sep 1;193(Pt A):55-68. doi: 10.1016/j.physbeh.2018.01.013. Epub 2018 May 2.","Hawkes K","Physiol Behav","2018","2018/05/07","","","10.1016/j.physbeh.2018.01.013"
"27436726","Insect societies and the social brain","Farris SM.","Curr Opin Insect Sci. 2016 Jun;15:1-8. doi: 10.1016/j.cois.2016.01.010. Epub 2016 Feb 4.","Farris SM","Curr Opin Insect Sci","2016","2016/07/21","","","10.1016/j.cois.2016.01.010"
"27336738","The whole worm: brain-body-environment models of C. elegans","Izquierdo EJ, Beer RD.","Curr Opin Neurobiol. 2016 Oct;40:23-30. doi: 10.1016/j.conb.2016.06.005. Epub 2016 Jun 20.","Izquierdo EJ","Curr Opin Neurobiol","2016","2016/06/24","","","10.1016/j.conb.2016.06.005"
"28502066","Ebselen ameliorates β-amyloid pathology, tau pathology, and cognitive impairment in triple-transgenic Alzheimer's disease mice","Xie Y, Tan Y, Zheng Y, Du X, Liu Q.","J Biol Inorg Chem. 2017 Aug;22(6):851-865. doi: 10.1007/s00775-017-1463-2. Epub 2017 May 13.","Xie Y","J Biol Inorg Chem","2017","2017/05/15","","","10.1007/s00775-017-1463-2"
"30800378","Captive jays exhibit reduced problem-solving performance compared to wild conspecifics","McCune KB, Jablonski P, Lee SI, Ha RR.","R Soc Open Sci. 2019 Jan 16;6(1):181311. doi: 10.1098/rsos.181311. eCollection 2019 Jan.","McCune KB","R Soc Open Sci","2019","2019/02/26","PMC6366215","","10.1098/rsos.181311"
"28626971","Genetics and developmental biology of cooperation","Kasper C, Vierbuchen M, Ernst U, Fischer S, Radersma R, Raulo A, Cunha-Saraiva F, Wu M, Mobley KB, Taborsky B.","Mol Ecol. 2017 Sep;26(17):4364-4377. doi: 10.1111/mec.14208. Epub 2017 Jul 21.","Kasper C","Mol Ecol","2017","2017/06/20","","","10.1111/mec.14208"
"32473744","Multilevel Organisation of Animal Sociality","Grueter CC, Qi X, Zinner D, Bergman T, Li M, Xiang Z, Zhu P, Migliano AB, Miller A, Krützen M, Fischer J, Rubenstein DI, Vidya TNC, Li B, Cantor M, Swedell L.","Trends Ecol Evol. 2020 Sep;35(9):834-847. doi: 10.1016/j.tree.2020.05.003. Epub 2020 May 27.","Grueter CC","Trends Ecol Evol","2020","2020/06/01","","","10.1016/j.tree.2020.05.003"
